"P.of.T","SUBJ","NUMB","TITLE","HRS","ENRLD","MAXENRL","TIMES","DAYS","INSTRUCTOR"
"1","ACCT","2101","PRINCIPLES OF ACCOUNTING I",3,28,30,"","","Haile, Brandie"
"1","ACCT","2101","PRINCIPLES OF ACCOUNTING I",3,30,30,"11:00-11:50","M W F","Lopez, Elizabeth"
"1","ACCT","2102","PRINCIPLES OF ACCOUNTING II",3,16,30,"","","Haile, Brandie"
"1","ACCT","2102","PRINCIPLES OF ACCOUNTING II",3,15,30,"12:30-01:45","T R","Lopez, Elizabeth"
"1","ACCT","3103","INTERM ACCOUNTING I",3,7,30,"03:30-04:45","T R","Haile, Brandie"
"1","ACCT","4123","COST ACCOUNTING",3,9,30,"05:15-06:30","M W","el-Hassan, Nawaar"
"1","ACCT","4133","ADVANCED ACCOUNTING",3,9,30,"09:30-10:45","T R","Lopez, Elizabeth"
"1","ACCT","4143","AUDITING",3,6,30,"03:30-04:45","T R","Lopez, Elizabeth"
"1","ACCT","4163","ACCOUNTING INFORMATION SYSTEMS",3,9,30,"","","Haile, Brandie"
"1","ACCT","4173","INTERNATIONAL ACCOUNTING",3,1,1,"","","Haile, Brandie"
"1","AENT","1801","INTRO TO AGRICULTURAL ENG. TEC",1,20,30,"01:00-01:50","M W","Campbell, Kenzie"
"1","AENT","1813","ENGINEERING GRAPHICS",3,19,20,"12:00-12:50","M W","Campbell, Kenzie"
"1","AENT","1813L","ENGINEER GRAPH LAB",0,18,20,"12:00-01:50","R","Campbell, Kenzie"
"1","AENT","2803","WOOD AND METAL TECHNOLOGY",3,16,20,"08:00-08:50","M W","Galvez Heredia, Angela"
"1","AENT","2803L","WOOD & METAL TECH LAB",0,12,20,"05:00-06:50","T","Galvez Heredia, Angela"
"1","AENT","2803L","WOOD & METAL TECH LAB",0,4,15,"05:00-06:50","R","Galvez Heredia, Angela"
"1","AENT","3823","ELECTRIC/ELECTRON APPL",3,14,20,"09:00-09:50","M W","Singh, Ana Seini"
"1","AENT","3823L","ELECTRIC/ELECTRON LAB",0,14,20,"07:00-08:50","T","Singh, Ana Seini"
"1","AENT","3853","POWER FOR AGRICULTURE",3,8,10,"03:00-04:50","M","Singh, Ana Seini"
"1","AENT","3853L","POWER FOR AGRIC-LAB",0,8,10,"09:30-10:45","T R","Singh, Ana Seini"
"1","AENT","4883","PS FOR ENGINEERS & SCIENTIST",3,5,10,"02:00-02:50","S","Singh, Ana Seini"
"1","AENT","4883L","PS FOR ENGINEER & SCIEN LAB",0,5,10,"09:00-11:50","S","Singh, Ana Seini"
"1","AGEC","2801","INTRO TO AG ECONOMICS",3,18,25,"09:30-10:45","T R","Blanco, Alexzandrea"
"1","AGEC","3803","FARM MANAGEMENT",2,17,25,"10:00-10:50","M W","Griego, Blake"
"1","AGEC","3843","RESEARCH METHODS",3,8,10,"11:00-11:50","M W F","Griego, Blake"
"1","AGEC","4813","AGRICULTURAL PRICE ANALYSIS",3,4,10,"09:00-09:50","M W F","Bass, Ciera"
"1","AGED","3823","CURRICULUM DEV. & PROG. PLAN",3,4,4,"04:00-04:50","M","Rodriguez, Brandon"
"1","AGED","4821","ASSESSMENT SEMINAR",1,4,4,"04:00-04:50","T","Rodriguez, Brandon"
"1","AGED","4883","METHODS OF TEACHING AGRI.",3,3,3,"03:00-05:50","F","Davis, Vincent"
"1","ANSC","1801","SOC INTERACT & BEHAVIOR ANM",1,58,60,"12:00-12:50","F","Torres, Joanna"
